+---------+-----------+
|  period | email_num |
+---------+-----------+
|  2001/1 |     1     |
|  2001/6 |     2     |
|  2002/1 |     2     |
|  2002/2 |     1     |
| 2003/11 |     1     |
| 2003/12 |     2     |
|  2003/4 |     1     |
|  2004/1 |     2     |
| 2005/10 |     86    |
| 2005/11 |    128    |
| 2005/12 |    148    |
|  2006/1 |    169    |
| 2006/10 |    147    |
| 2006/11 |     97    |
| 2006/12 |     71    |
|  2006/2 |    163    |
|  2006/3 |    204    |
|  2006/4 |    166    |
|  2006/5 |    149    |
|  2006/6 |    163    |
|  2006/7 |    185    |
|  2006/8 |    123    |
|  2006/9 |    161    |
|  2007/1 |     93    |
| 2007/10 |    195    |
| 2007/11 |    193    |
| 2007/12 |    135    |
|  2007/2 |     95    |
|  2007/3 |    122    |
|  2007/4 |     92    |
|  2007/5 |     95    |
|  2007/6 |    112    |
|  2007/7 |     91    |
|  2007/8 |     59    |
|  2007/9 |    126    |
|  2008/1 |    280    |
| 2008/10 |    201    |
| 2008/11 |    154    |
| 2008/12 |    216    |
|  2008/2 |    249    |
|  2008/3 |    140    |
|  2008/4 |    181    |
|  2008/5 |    151    |
|  2008/6 |    170    |
|  2008/7 |    265    |
|  2008/8 |    158    |
|  2008/9 |    181    |
|  2009/1 |    298    |
| 2009/10 |    220    |
| 2009/11 |    215    |
| 2009/12 |    288    |
|  2009/2 |    252    |
|  2009/3 |    152    |
|  2009/4 |    260    |
|  2009/5 |    190    |
|  2009/6 |    153    |
|  2009/7 |    247    |
|  2009/8 |     59    |
|  2009/9 |    165    |
|  2010/1 |    201    |
| 2010/10 |    329    |
| 2010/11 |    691    |
| 2010/12 |    653    |
|  2010/2 |    226    |
|  2010/3 |    244    |
|  2010/4 |    255    |
|  2010/5 |    327    |
|  2010/6 |    316    |
|  2010/7 |    330    |
|  2010/8 |    211    |
|  2010/9 |    267    |
|  2011/1 |    1428   |
| 2011/10 |    3856   |
| 2011/11 |    3309   |
| 2011/12 |    2722   |
|  2011/2 |    1115   |
|  2011/3 |    2219   |
|  2011/4 |    1288   |
|  2011/5 |    1640   |
|  2011/6 |    2800   |
|  2011/7 |    4100   |
|  2011/8 |    2061   |
|  2011/9 |    3522   |
|  2012/1 |    3076   |
| 2012/10 |    4709   |
| 2012/11 |    7300   |
| 2012/12 |    6276   |
|  2012/2 |    2052   |
|  2012/3 |    2471   |
|  2012/4 |    2957   |
|  2012/5 |    5561   |
|  2012/6 |    3545   |
|  2012/7 |    5424   |
|  2012/8 |    5107   |
|  2012/9 |    3376   |
|  2013/1 |    7527   |
| 2013/10 |   38389   |
| 2013/11 |   35294   |
| 2013/12 |   37627   |
|  2013/2 |    8367   |
|  2013/3 |    8095   |
|  2013/4 |    7440   |
|  2013/5 |    8677   |
|  2013/6 |    8029   |
|  2013/7 |   11286   |
|  2013/8 |   15522   |
|  2013/9 |   29753   |
|  2014/1 |   49507   |
| 2014/10 |   54769   |
| 2014/11 |   49843   |
| 2014/12 |   55981   |
|  2014/2 |   38004   |
|  2014/3 |   39891   |
|  2014/4 |   35572   |
|  2014/5 |   31977   |
|  2014/6 |   38174   |
|  2014/7 |   40014   |
|  2014/8 |   37240   |
|  2014/9 |   47086   |
|  2015/1 |   54948   |
|  2015/2 |   58158   |
|  2015/3 |   66864   |
|  2015/4 |   63541   |
|  2015/5 |   95964   |
|  2015/6 |   22436   |
|  2016/1 |     2     |
+---------+-----------+
