+---------------------------+---------------+
|            name           | nums_of_email |
+---------------------------+---------------+
|           +0000           |       1       |
|           +0200           |       1       |
|           +0600           |       1       |
|           +0700           |       2       |
|           +1000           |       1       |
|           -0500           |       1       |
|          00:26:04         |       1       |
|             10            |       1       |
|          14:08:33         |       1       |
|             17            |       2       |
|          17:38:50         |       1       |
|             18            |       1       |
|             19            |       1       |
|            2011           |       7       |
|          20:34:27         |       1       |
|          22:04:46         |       1       |
|          22:18:33         |       1       |
|          22:30:28         |       1       |
|             28            |       1       |
|             4             |       1       |
|      4725e6d6.7020603     |       1       |
|          a.bassi          |       46      |
|         a.capadlo         |       3       |
|         a.capalbo         |       4       |
|         a.capaldo         |     35501     |
|         a.cariola         |      140      |
|          a.citino         |       50      |
|        a.dipasquale       |      2534     |
|         a.farissi         |       11      |
|         a.lomonaco        |      702      |
|      a.mangiacavalli      |       38      |
|          a.mazzeo         |      7018     |
|           a.mino          |      893      |
|         a.ornaghi         |     10895     |
|       a.pelliccione       |      5253     |
|          a.pesoli         |      270      |
|      a.scaccabarozzi      |       37      |
|        a.scarafile        |     23208     |
|         a.velasco         |     16074     |
|         a.velazco         |       1       |
|          abctest          |       4       |
|          acapaldo         |       15      |
|          acqisti          |       1       |
|          acquisti         |      5834     |
|             ad            |      296      |
|           adlist          |      141      |
|           admin           |      328      |
|      administrazione      |       18      |
|          ahsheep          |       35      |
|       alacom.it info      |       1       |
|          alberto          |      2643     |
|      alberto.ornaghi      |      523      |
|    alberto.pelliccione    |      131      |
|            aldo           |       50      |
|     aldo.scaccabarozzi    |      127      |
|          alerting         |       1       |
|    alessandro.lomonaco    |       87      |
|    alessandro.scarafile   |      136      |
|            alex           |      320      |
|          alfredo          |      201      |
|            alor           |     10832     |
|          amazzeo          |       5       |
|       amminisrazione      |       2       |
|      amministrazioen      |       2       |
|      amministrazione      |     27727     |
|       ammnistrazione      |       4       |
|           andrea          |       54      |
|       andrea.cariola      |      117      |
|     andrea.dipasquale     |      349      |
|          annalisa         |      216      |
|   annalisa.mangiacavalli  |       18      |
|         antonella         |      111      |
|     antonella.capaldo     |      765      |
|     antonella.caparldo    |       29      |
|       antonio.mazzeo      |      212      |
|          aornaghi         |       4       |
